id,date_notification,acheteur,montant_eur,duree_mois,famille,objet,source_dataset,releve
2025PES0000153,2024-11-05,DEPARTEMENT DE COTE D OR,48750,36,territoire,CREATION DE JUMEAUX NUMERIQUES BAT DEPT,decp-2022-marches-valides,2026-09-20
2557386,2024-09-13,INSTITUT NATIONAL DE RECHERCHE POUR L'AGRICULTURE L'ALIMENTATION ET L'ENVIRONNEMENT (INRAE),322600,16,industrie-recherche,Création d'un jumeau numérique pour l'évaluation des performances de systèmes de localisation multi-capteur.,decp-2022-marches-valides,2026-09-20
2024P240,2024-07-29,METROPOLE ROUEN NORMANDIE,96000,48,réseau,Développement d'un jumeau numérique du réseau d'eau potable de la Métropole Rouen Normandie prenant en compte les analyses métallographiques et création d'outils novateurs d'optimisation du budget de la politique renouvellement de réseau,decp-2022-marches-valides,2026-09-20
202424070,2024-06-27,COMMUNE DE BAYONNE,"83333,33",48,territoire,ACHAT INNOVANT : JUMEAUX NUMERIQUES MULTI-ECHELLE ET EXPLOITATION DES DONNEES DANS LE CADRE DE 2 ETUDES LIEES A LA TRANSITION ECOLOGIQUE,decp-2022-marches-valides,2026-09-20
2024V4C0010ND,2024-05-28,COMMUNE DE MONTPELLIER,100000,6,territoire,MISE A JOUR DU MILLESIME 2023 DANS LE JUMEAU NUMERIQUE 4D ET AMELIORATION DU RENDU PAR TEXTURATION POUR VILLE DE MONTPELLIER,decp-2022-marches-valides,2026-09-20
202403181028,2024-05-23,COMMUNAUTE D'AGGLO DE LA REGION NAZAIRIENNE ET DE L'ESTUAIRE (CARENE),63207,12,territoire,REALISATION D UN JUMEAU NUMERIQUE DE TYPE MESH 3D,decp-2022-marches-valides,2026-09-20
202423PS183,2024-03-29,VENDEE EAU,109695,18,réseau,ACQUISITION D'UN JUMEAU NUMERIQUE ET SON CADASTRE SOLAIRE,decp-2022-marches-valides,2026-09-20
2023M3C0005RI00,2023-03-14,MONTPELLIER MEDITERRANEE METROPOLE,160000,12,territoire,MAJ SOCLE DU JUMEAU NUMERIQUE 3M,decp-v3-marches-valides,2026-09-20
2023V3C0004RI00,2023-03-09,COMMUNE DE MONTPELLIER,140000,13,territoire,MISE A JOUR DU SOCLE DU JUMEAU NUMERIQUE 3M,decp-v3-marches-valides,2026-09-20
202200340000000,2022-08-12,CA PAYS DE MONTBELIARD AGGLOMERATION (PMA),435118,36,territoire,Territoire Intelligent - Entrepôt - Jumeau numérique de données (phase candidature),decp-v3-marches-valides,2026-09-20
20222022S0001300,2022-04-04,RENNES METROPOLE,"981211,61",30,territoire,PLATEFORME DE COOPERATION S APPUYANT SUR UN JUMEAU NUMERIQUE DU TERRITOIRE,decp-v3-marches-valides,2026-09-20
2022M2D0036RI,2022-03-29,MONTPELLIER MEDITERRANEE METROPOLE,"434514,53",12,territoire,MISE EN OEUVRE JUMEAU NUMERIQUE,decp-2022-marches-valides,2026-09-20
2020005800,2020-07-02,CAISSE DES DEPOTS ET CONSIGNATIONS (CDC),63200,2,territoire,étude sur les jumeaux numériques des villes,decp-v3-marches-valides,2026-09-20
2019-692268-01,2019-09-12,TERRITOIRE D'INNOVATION (TERRINNOV),235000,60,réseau,Mise en place d'un jumeau numérique du smart grid multi énergies de Ferney Genève Innovation,decp-2022-marches-valides,2026-09-20
20182018F0004800,2018-12-14,UNIVERSITE DE REIMS CHAMPAGNE-ARDENNE (URCA),124825,12,industrie-recherche,Acquisition d'un système de migration technologique d'une cellule flexible existante avec élaboration du jumeau numérique de la cellule pour le laboratoire CReSTIC de l'Université Reims Champagne-Ardenne,decp-v3-marches-valides,2026-09-20
